date,description,counterparty_ban,reference,amount,balance
2026-05-20,匯入-祥昇機電股份有限公司,85793832,AB78513996,243990,20912883
2026-06-05,固定營運支出(人事/房租/水電),,,-382500,20530383
2026-06-09,匯出-晶模具有限公司,31527583,AP35926247,-246782,20283601
2026-06-14,匯入-祥昇機電股份有限公司,85793832,AB13725282,607894,20891495
2026-06-16,匯出-銘原料有限公司,38367914,AP81749635,-233913,20657582
2026-06-28,匯出-隆模具有限公司,89262240,AP39588277,-161951,20495631
2026-07-03,匯出-永包材有限公司,22378990,AP72010770,-182432,20313199
2026-07-04,匯入-晶宇機械股份有限公司,55145064,AB46877021,447963,20761162
2026-07-05,固定營運支出(人事/房租/水電),,,-382500,20378662
2026-07-07,匯入-銘麒工業社有限公司,82837832,AB52996141,550679,20929341
2026-07-08,匯入-晶陽機電股份有限公司,38792170,AB74552931,193821,21123162
2026-07-11,匯入-晶陽機電股份有限公司,38792170,AB47724623,98178,21221340
2026-07-11,匯入-晶陽機電股份有限公司,38792170,AB41813773,171471,21392811
2026-07-16,匯出-永包材有限公司,22378990,AP60731151,-203621,21189190
2026-07-17,匯出-隆模具有限公司,89262240,AP26360280,-205014,20984176
2026-07-30,匯入-永驊機械股份有限公司,91453842,AB42136560,359284,21343460
2026-08-05,匯入-晶陽機電股份有限公司,38792170,AB34311527,435204,21778664
2026-08-05,固定營運支出(人事/房租/水電),,,-382500,21396164
