date,description,counterparty_ban,reference,amount,balance
2025-02-17,匯出-泰原料股份有限公司,72459573,AP52889111,-115233,1178472
2025-02-23,匯出-宏原料股份有限公司,19281590,AP18071217,-73293,1105179
2025-02-27,匯出-宏原料股份有限公司,19281590,AP13171392,-70632,1034547
2025-02-28,匯入-皓達機械有限公司,85291704,AB22120276,404101,1438648
2025-03-05,固定營運支出(人事/房租/水電),,,-238500,1200148
2025-03-07,匯出-泰包材有限公司,70313722,AP50710220,-35669,1164479
2025-03-09,匯出-偉模具有限公司,34402680,AP72762334,-191201,973278
2025-03-10,匯入-銘陽自動化科技股份有限公司,69083011,AB36146343,322813,1296091
2025-03-10,匯入-銘陽自動化科技股份有限公司,69083011,AB93094361,344658,1640749
2025-03-14,匯入-銘陽自動化科技股份有限公司,69083011,AB44083287,266641,1907390
2025-03-16,匯入-群毅精機股份有限公司,91948211,AB36742886,386268,2293658
2025-03-17,匯入-群毅精機股份有限公司,91948211,AB57484087,117528,2411186
2025-03-18,匯入-皓達機械有限公司,85291704,AB73375475,178004,2589190
2025-03-23,匯入-偉驊工業股份有限公司,86018953,AB98618129,438225,3027415
2025-04-02,匯入-銘陽自動化科技股份有限公司,69083011,AB27050801,177586,3205001
2025-04-05,固定營運支出(人事/房租/水電),,,-238500,2966501
2025-04-15,匯出-宏原料股份有限公司,19281590,AP90673028,-83636,2882865
2025-04-17,匯出-順零件有限公司,99078660,AP45570644,-68914,2813951
2025-04-21,匯入-偉翔自動化科技股份有限公司,47865791,AB63778945,302097,3116048
2025-04-23,匯入-銘陽自動化科技股份有限公司,69083011,AB27388652,232881,3348929
2025-04-24,匯入-皓澤自動化科技股份有限公司,24710494,AB10527808,419010,3767939
2025-04-24,匯入-銘陽自動化科技股份有限公司,69083011,AB46109495,170722,3938661
2025-04-25,匯出-宏原料股份有限公司,19281590,AP65402616,-37064,3901597
2025-04-27,匯出-隆原料有限公司,73212234,AP97462018,-51905,3849692
2025-04-28,匯出-偉模具有限公司,34402680,AP93256282,-49630,3800062
2025-05-01,匯入-銘陽自動化科技股份有限公司,69083011,AB15663839,236443,4036505
2025-05-01,匯出-宏原料股份有限公司,19281590,AP51432906,-88663,3947842
2025-05-05,固定營運支出(人事/房租/水電),,,-238500,3709342
2025-05-10,匯入-皓澤自動化科技股份有限公司,24710494,AB28405872,462510,4171852
2025-05-10,匯出-偉模具有限公司,34402680,AP87615529,-54912,4116940
2025-05-11,匯入-永陽工業股份有限公司,29487570,AB75248694,501322,4618262
2025-05-11,匯出-順零件有限公司,99078660,AP28974291,-31911,4586351
2025-05-14,匯出-泰原料股份有限公司,72459573,AP99177643,-156611,4429740
2025-05-16,匯入-群毅精機股份有限公司,91948211,AB73721294,367087,4796827
2025-05-16,匯出-泰包材有限公司,70313722,AP27811668,-129697,4667130
2025-05-31,匯入-偉翔自動化科技股份有限公司,47865791,AB67917877,242042,4909172
2025-06-05,固定營運支出(人事/房租/水電),,,-238500,4670672
2025-06-13,匯入-銘陽自動化科技股份有限公司,69083011,AB21282512,198353,4869025
2025-06-18,匯出-順零件有限公司,99078660,AP43209375,-60749,4808276
2025-06-21,匯入-隆昇精密工業有限公司,23909964,AB38163874,296960,5105236
2025-06-26,匯出-隆原料有限公司,73212234,AP46994476,-136019,4969217
2025-06-27,匯入-銘陽自動化科技股份有限公司,69083011,AB49321318,201135,5170352
2025-07-03,匯入-皓達機械有限公司,85291704,AB48900721,126633,5296985
2025-07-05,匯入-群毅精機股份有限公司,91948211,AB31669330,201955,5498940
2025-07-05,匯出-隆原料有限公司,73212234,AP96676696,-68122,5430818
2025-07-05,固定營運支出(人事/房租/水電),,,-238500,5192318
2025-07-22,匯入-皓達機械有限公司,85291704,AB68551241,322397,5514715
2025-07-28,匯出-隆原料有限公司,73212234,AP45925506,-70062,5444653
2025-08-01,匯出-偉模具有限公司,34402680,AP43010746,-37234,5407419
2025-08-05,固定營運支出(人事/房租/水電),,,-238500,5168919
2025-08-16,匯出-隆原料有限公司,73212234,AP60181809,-172942,4995977
2025-08-20,匯出-順零件有限公司,99078660,AP42528686,-179892,4816085
2025-08-26,匯入-銘陞機械股份有限公司,81276843,AB38881120,462603,5278688
2025-08-31,匯入-群毅精機股份有限公司,91948211,AB96331453,424599,5703287
2025-09-05,固定營運支出(人事/房租/水電),,,-238500,5464787
2025-09-06,匯出-泰包材有限公司,70313722,AP36482740,-99058,5365729
2025-09-13,匯出-宏原料股份有限公司,19281590,AP92809450,-80475,5285254
2025-09-19,匯入-銘陽自動化科技股份有限公司,69083011,AB53423984,385165,5670419
2025-09-23,匯入-群毅精機股份有限公司,91948211,AB59433105,215640,5886059
2025-10-05,固定營運支出(人事/房租/水電),,,-238500,5647559
2025-10-08,匯出-偉模具有限公司,34402680,AP52171205,-140243,5507316
2025-10-10,匯入-皓達機械有限公司,85291704,AB95153029,93265,5600581
2025-10-29,匯出-泰包材有限公司,70313722,AP46270978,-100463,5500118
2025-11-04,匯出-泰原料股份有限公司,72459573,AP72283819,-32611,5467507
2025-11-05,固定營運支出(人事/房租/水電),,,-238500,5229007
2025-11-08,匯入-永陽工業股份有限公司,29487570,AB28885403,350315,5579322
2025-11-09,匯入-皓達機械有限公司,85291704,AB21378775,438045,6017367
2025-11-16,匯入-銘陽自動化科技股份有限公司,69083011,AB99998797,507531,6524898
2025-11-17,匯出-泰包材有限公司,70313722,AP12927357,-105373,6419525
2025-11-19,匯入-銘陽自動化科技股份有限公司,69083011,AB20254327,571680,6991205
2025-11-21,匯入-銘陽自動化科技股份有限公司,69083011,AB74160468,271215,7262420
2025-11-25,匯入-銘陽自動化科技股份有限公司,69083011,AB63873226,474559,7736979
2025-12-01,匯入-銘陽自動化科技股份有限公司,69083011,AB15592444,569849,8306828
2025-12-02,匯入-皓達機械有限公司,85291704,AB82021083,232717,8539545
2025-12-04,匯出-泰包材有限公司,70313722,AP40037983,-87733,8451812
2025-12-04,匯出-偉模具有限公司,34402680,AP49416722,-67195,8384617
2025-12-05,固定營運支出(人事/房租/水電),,,-238500,8146117
2025-12-20,匯入-隆昇精密工業有限公司,23909964,AB28736266,319297,8465414
2025-12-21,匯入-偉翔自動化科技股份有限公司,47865791,AB38546741,173954,8639368
2025-12-21,匯入-銘陞機械股份有限公司,81276843,AB93443625,324039,8963407
2025-12-28,匯出-順零件有限公司,99078660,AP20501465,-43788,8919619
2026-01-04,匯出-泰原料股份有限公司,72459573,AP73721578,-25642,8893977
2026-01-05,固定營運支出(人事/房租/水電),,,-238500,8655477
2026-01-10,匯出-偉模具有限公司,34402680,AP17572171,-133503,8521974
2026-01-14,匯出-泰原料股份有限公司,72459573,AP43287747,-36606,8485368
2026-01-19,匯入-永陽工業股份有限公司,29487570,AB31667923,464979,8950347
2026-01-31,匯入-群毅精機股份有限公司,91948211,AB77852569,657903,9608250
2026-02-05,固定營運支出(人事/房租/水電),,,-238500,9369750
2026-02-06,匯出-隆原料有限公司,73212234,AP31567766,-133631,9236119
2026-02-09,匯入-銘陽自動化科技股份有限公司,69083011,AB48867961,93636,9329755
2026-02-14,匯出-宏原料股份有限公司,19281590,AP80848359,-20112,9309643
2026-02-14,匯出-泰原料股份有限公司,72459573,AP36899085,-32532,9277111
2026-02-19,匯入-銘陽自動化科技股份有限公司,69083011,AB75202710,117393,9394504
2026-02-21,匯出-泰包材有限公司,70313722,AP13930009,-73517,9320987
2026-03-05,固定營運支出(人事/房租/水電),,,-238500,9082487
2026-03-21,匯入-偉翔自動化科技股份有限公司,47865791,AB77330181,315556,9398043
2026-03-23,匯出-宏原料股份有限公司,19281590,AP23494578,-77709,9320334
2026-03-30,匯入-群毅精機股份有限公司,91948211,AB47203213,193771,9514105
2026-04-05,固定營運支出(人事/房租/水電),,,-238500,9275605
2026-04-06,匯入-偉翔自動化科技股份有限公司,47865791,AB48917884,197332,9472937
2026-04-06,匯入-群毅精機股份有限公司,91948211,AB39531289,386989,9859926
2026-04-07,匯入-隆昇精密工業有限公司,23909964,AB27580355,540165,10400091
2026-04-07,匯出-偉模具有限公司,34402680,AP50772964,-38392,10361699
2026-04-08,匯出-順零件有限公司,99078660,AP58888654,-87663,10274036
2026-04-09,匯入-群毅精機股份有限公司,91948211,AB12158188,396948,10670984
2026-04-14,匯入-隆昇精密工業有限公司,23909964,AB62931147,633104,11304088
2026-04-17,匯入-銘陽自動化科技股份有限公司,69083011,AB42824244,458707,11762795
2026-04-18,匯出-隆原料有限公司,73212234,AP26864695,-23604,11739191
2026-04-24,匯入-銘陽自動化科技股份有限公司,69083011,AB54246886,360736,12099927
2026-05-05,固定營運支出(人事/房租/水電),,,-238500,11861427
2026-05-11,匯出-泰包材有限公司,70313722,AP99221985,-89835,11771592
2026-05-12,匯入-群毅精機股份有限公司,91948211,AB24241764,489454,12261046
2026-05-31,匯入-偉翔自動化科技股份有限公司,47865791,AB53773065,417800,12678846
2026-06-04,匯出-偉模具有限公司,34402680,AP68710931,-75818,12603028
2026-06-05,固定營運支出(人事/房租/水電),,,-238500,12364528
2026-06-21,匯入-隆昇精密工業有限公司,23909964,AB21339077,212162,12576690
2026-06-24,匯入-偉翔自動化科技股份有限公司,47865791,AB73667109,412027,12988717
2026-06-28,匯出-泰包材有限公司,70313722,AP36053704,-59554,12929163
2026-07-01,匯入-銘陽自動化科技股份有限公司,69083011,AB70025882,382938,13312101
2026-07-02,匯入-銘陽自動化科技股份有限公司,69083011,AB18941925,206435,13518536
2026-07-03,匯入-隆昇精密工業有限公司,23909964,AB45046288,134101,13652637
2026-07-05,固定營運支出(人事/房租/水電),,,-238500,13414137
2026-07-09,匯入-隆昇精密工業有限公司,23909964,AB64317606,160915,13575052
2026-07-10,匯入-永陽工業股份有限公司,29487570,AB75172784,241558,13816610
2026-07-16,匯出-偉模具有限公司,34402680,AP40438711,-136258,13680352
2026-07-19,匯入-銘陽自動化科技股份有限公司,69083011,AB67813039,224704,13905056
2026-07-19,匯入-皓達機械有限公司,85291704,AB20814848,274387,14179443
2026-07-19,匯入-永陽工業股份有限公司,29487570,AB64520484,227223,14406666
2026-07-22,匯入-隆昇精密工業有限公司,23909964,AB68005893,441884,14848550
2026-07-23,匯出-泰包材有限公司,70313722,AP44528332,-139327,14709223
2026-07-29,匯入-銘陽自動化科技股份有限公司,69083011,AB47522967,364064,15073287
2026-07-30,匯入-銘陽自動化科技股份有限公司,69083011,AB24081650,282570,15355857
2026-08-05,匯出-偉模具有限公司,34402680,AP38986082,-123069,15232788
2026-08-05,固定營運支出(人事/房租/水電),,,-238500,14994288
