date,description,counterparty_ban,reference,amount,balance
2025-03-03,匯入-偉宇工業股份有限公司,41647524,AB70211891,6261,11383723
2025-03-03,匯出-群模具股份有限公司,88248962,AP24754064,-628281,10755442
2025-03-04,匯入-銓麒自動化科技股份有限公司,29283272,AB13446499,112899,10868341
2025-03-05,固定營運支出(人事/房租/水電),,,-238500,10629841
2025-03-13,匯入-銓麒自動化科技股份有限公司,29283272,AB99100953,69007,10698848
2025-03-23,匯出-群模具股份有限公司,88248962,AP49613214,-100258,10598590
2025-03-24,匯入-隆陞機械股份有限公司,91960013,AB15354599,7246,10605836
2025-04-02,匯入-銘毅機械有限公司,96379403,AB44675473,50166,10656002
2025-04-03,匯入-隆陞機械股份有限公司,91960013,AB19584466,6184870,16840872
2025-04-05,固定營運支出(人事/房租/水電),,,-238500,16602372
2025-04-07,匯入-鴻澤工業有限公司,21615593,AB21432787,8209665,24812037
2025-04-18,匯入-銘毅機械有限公司,96379403,AB74119726,283260,25095297
2025-04-18,匯出-群模具股份有限公司,88248962,AP98473848,-257762,24837535
2025-05-05,固定營運支出(人事/房租/水電),,,-238500,24599035
2025-05-14,匯出-泰五金有限公司,44657871,AP19673809,-393418,24205617
2025-05-23,匯入-偉宇工業股份有限公司,41647524,AB73771720,4410,24210027
2025-05-25,匯出-群模具股份有限公司,88248962,AP93446356,-1900260,22309767
2025-05-28,匯出-泰包材股份有限公司,98095700,AP84384510,-1897435,20412332
2025-05-31,匯入-永鋒自動化科技有限公司,97101222,AB47333543,289862,20702194
2025-06-05,固定營運支出(人事/房租/水電),,,-238500,20463694
2025-06-08,匯入-隆陞機械股份有限公司,91960013,AB75575808,103428,20567122
2025-06-14,匯出-群五金有限公司,58281480,AP61124122,-148231,20418891
2025-06-25,匯入-隆陞機械股份有限公司,91960013,AB89133014,139485,20558376
2025-06-29,匯入-隆陞機械股份有限公司,91960013,AB56843172,19106,20577482
2025-07-04,匯入-銘驊工業有限公司,82423880,AB33763566,16537500,37114982
2025-07-05,固定營運支出(人事/房租/水電),,,-238500,36876482
2025-07-08,匯入-銘毅機械有限公司,96379403,AB98742485,1049844,37926326
2025-07-09,匯入-隆陞機械股份有限公司,91960013,AB79967676,158824,38085150
2025-07-13,匯入-銘毅機械有限公司,96379403,AB16818112,34041,38119191
2025-07-18,匯入-銘毅機械有限公司,96379403,AB20796722,126449,38245640
2025-07-19,匯出-皓零件有限公司,90184514,AP29226889,-97456,38148184
2025-07-23,匯出-泰包材股份有限公司,98095700,AP29944139,-371912,37776272
2025-07-24,匯入-德宇機械股份有限公司,13056414,AB21003626,9551,37785823
2025-07-24,匯入-鴻澤工業有限公司,21615593,AB42035886,124182,37910005
2025-08-01,匯入-偉宇工業股份有限公司,41647524,AB52352128,143998,38054003
2025-08-01,匯出-永模具股份有限公司,40391170,AP61401477,-3261156,34792847
2025-08-05,固定營運支出(人事/房租/水電),,,-238500,34554347
2025-08-06,匯入-鴻麒精密工業有限公司,28495931,AB25521714,1803468,36357815
2025-08-15,匯入-鴻澤工業有限公司,21615593,AB27758595,57841,36415656
2025-08-15,匯入-鴻澤工業有限公司,21615593,AB79782527,11406,36427062
2025-08-20,匯入-鴻麒精密工業有限公司,28495931,AB38682516,79127,36506189
2025-08-28,匯入-鴻澤工業有限公司,21615593,AB74759996,34589,36540778
2025-08-29,匯入-永鋒自動化科技有限公司,97101222,AB33328859,41706,36582484
2025-09-01,匯入-隆陞機械股份有限公司,91960013,AB82498004,13687,36596171
2025-09-02,匯入-偉宇工業股份有限公司,41647524,AB26247735,1233126,37829297
2025-09-05,固定營運支出(人事/房租/水電),,,-238500,37590797
2025-09-15,匯入-隆陞機械股份有限公司,91960013,AB77491435,28515,37619312
2025-09-21,匯入-銘毅機械有限公司,96379403,AB45159040,1041526,38660838
2025-09-26,匯出-泰五金有限公司,44657871,AP89036966,-43626,38617212
2025-09-28,匯入-銘毅機械有限公司,96379403,AB47463522,4791,38622003
2025-10-05,固定營運支出(人事/房租/水電),,,-238500,38383503
2025-10-11,匯入-鴻澤工業有限公司,21615593,AB20200074,421677,38805180
2025-10-18,匯出-皓零件有限公司,90184514,AP71031132,-340135,38465045
2025-10-31,匯出-群五金有限公司,58281480,AP61167978,-26843,38438202
2025-10-31,匯出-群模具股份有限公司,88248962,AP41383044,-2027281,36410921
2025-11-01,匯出-永模具股份有限公司,40391170,AP20598952,-269761,36141160
2025-11-01,匯出-群模具股份有限公司,88248962,AP29208935,-19652,36121508
2025-11-03,匯入-隆陞機械股份有限公司,91960013,AB97477029,3730,36125238
2025-11-04,匯出-永模具股份有限公司,40391170,AP67702031,-53356,36071882
2025-11-05,固定營運支出(人事/房租/水電),,,-238500,35833382
2025-11-13,匯出-泰五金有限公司,44657871,AP76118957,-728,35832654
2025-11-14,匯出-群模具股份有限公司,88248962,AP45186708,-5739,35826915
2025-11-20,匯入-德宇機械股份有限公司,13056414,AB98930456,83997,35910912
2025-11-20,匯出-泰包材股份有限公司,98095700,AP59104566,-1081,35909831
2025-12-02,匯入-銘毅機械有限公司,96379403,AB43308443,6618976,42528807
2025-12-04,匯出-永模具股份有限公司,40391170,AP18815720,-1129,42527678
2025-12-05,固定營運支出(人事/房租/水電),,,-238500,42289178
2025-12-09,匯出-永模具股份有限公司,40391170,AP77624084,-129914,42159264
2025-12-11,匯入-德宇機械股份有限公司,13056414,AB40725714,10707,42169971
2025-12-17,匯出-群五金有限公司,58281480,AP30718012,-1313,42168658
2025-12-19,匯出-群模具股份有限公司,88248962,AP25458308,-205933,41962725
2025-12-20,匯出-群五金有限公司,58281480,AP48605268,-1267,41961458
2025-12-23,匯入-銘毅機械有限公司,96379403,AB12601580,5942,41967400
2025-12-30,匯出-皓零件有限公司,90184514,AP63349308,-43919,41923481
2026-01-01,匯入-銓麒自動化科技股份有限公司,29283272,AB36096655,197040,42120521
2026-01-02,匯入-隆陞機械股份有限公司,91960013,AB18357162,68270,42188791
2026-01-03,匯出-泰包材股份有限公司,98095700,AP63904155,-5723,42183068
2026-01-05,匯入-隆陞機械股份有限公司,91960013,AB45859307,498099,42681167
2026-01-05,固定營運支出(人事/房租/水電),,,-238500,42442667
2026-01-07,匯入-銘驊工業有限公司,82423880,AB32520277,1647345,44090012
2026-01-10,匯入-隆陞機械股份有限公司,91960013,AB40291214,1729368,45819380
2026-01-19,匯入-隆陞機械股份有限公司,91960013,AB16749089,19849,45839229
2026-02-05,固定營運支出(人事/房租/水電),,,-238500,45600729
2026-02-09,匯入-鴻澤工業有限公司,21615593,AB83715012,65966,45666695
2026-02-11,匯入-德宇機械股份有限公司,13056414,AB58557203,13361,45680056
2026-02-26,匯出-群模具股份有限公司,88248962,AP40885967,-2726160,42953896
2026-02-28,匯入-銘毅機械有限公司,96379403,AB95306788,341181,43295077
2026-03-02,匯入-偉宇工業股份有限公司,41647524,AB47945817,10158,43305235
2026-03-03,匯入-隆陞機械股份有限公司,91960013,AB91917334,32663,43337898
2026-03-03,匯出-皓零件有限公司,90184514,AP59667685,-6413,43331485
2026-03-05,固定營運支出(人事/房租/水電),,,-238500,43092985
2026-03-11,匯出-永模具股份有限公司,40391170,AP60628276,-16992,43075993
2026-03-16,匯入-德宇機械股份有限公司,13056414,AB23009833,82098,43158091
2026-03-16,匯入-隆陞機械股份有限公司,91960013,AB12314351,247046,43405137
2026-03-27,匯入-隆陞機械股份有限公司,91960013,AB48163378,3150,43408287
2026-04-01,匯入-鴻麒精密工業有限公司,28495931,AB41726318,10361259,53769546
2026-04-02,匯出-群模具股份有限公司,88248962,AP25356396,-17285,53752261
2026-04-03,匯出-泰五金有限公司,44657871,AP88862539,-5771,53746490
2026-04-05,固定營運支出(人事/房租/水電),,,-238500,53507990
2026-04-11,匯入-銘毅機械有限公司,96379403,AB89520597,376377,53884367
2026-04-21,匯入-鴻澤工業有限公司,21615593,AB69401199,2198225,56082592
2026-04-21,匯入-偉宇工業股份有限公司,41647524,AB69849511,1085266,57167858
2026-04-24,匯入-銘毅機械有限公司,96379403,AB75529051,8026817,65194675
2026-04-25,匯出-泰包材股份有限公司,98095700,AP92924837,-530086,64664589
2026-04-29,匯出-群五金有限公司,58281480,AP29804386,-97270,64567319
2026-05-04,匯出-群模具股份有限公司,88248962,AP99300492,-152561,64414758
2026-05-05,匯入-隆陞機械股份有限公司,91960013,AB90447099,5428,64420186
2026-05-05,固定營運支出(人事/房租/水電),,,-238500,64181686
2026-05-06,匯出-皓零件有限公司,90184514,AP63051354,-78559,64103127
2026-05-13,匯出-永模具股份有限公司,40391170,AP30767532,-1881,64101246
2026-05-19,匯入-永鋒自動化科技有限公司,97101222,AB85751409,8271,64109517
2026-05-22,匯入-銓麒自動化科技股份有限公司,29283272,AB48736657,877777,64987294
2026-05-24,匯入-銘毅機械有限公司,96379403,AB93352876,532795,65520089
2026-05-28,匯入-偉宇工業股份有限公司,41647524,AB60888017,20050,65540139
2026-05-28,匯出-群五金有限公司,58281480,AP79987997,-36774,65503365
2026-05-31,匯入-隆陞機械股份有限公司,91960013,AB93303777,599804,66103169
2026-05-31,匯入-銘毅機械有限公司,96379403,AB56138336,142413,66245582
2026-06-05,固定營運支出(人事/房租/水電),,,-238500,66007082
2026-06-24,匯出-泰包材股份有限公司,98095700,AP14818295,-720774,65286308
2026-07-01,匯出-群五金有限公司,58281480,AP50559278,-52552,65233756
2026-07-03,匯入-鴻麒精密工業有限公司,28495931,AB73083727,9372323,74606079
2026-07-05,固定營運支出(人事/房租/水電),,,-238500,74367579
2026-07-08,匯出-永模具股份有限公司,40391170,AP47546086,-6247,74361332
2026-07-16,匯出-皓零件有限公司,90184514,AP16788532,-35639,74325693
2026-07-17,匯入-銘驊工業有限公司,82423880,AB10054484,100421,74426114
2026-07-17,匯出-永模具股份有限公司,40391170,AP14968688,-327714,74098400
2026-07-19,匯出-泰五金有限公司,44657871,AP67723010,-424439,73673961
2026-07-28,匯出-皓零件有限公司,90184514,AP91480362,-4296,73669665
2026-07-30,匯入-鴻麒精密工業有限公司,28495931,AB50308572,2473496,76143161
2026-08-05,固定營運支出(人事/房租/水電),,,-238500,75904661
2026-08-10,匯出-群模具股份有限公司,88248962,AP14114726,-3061,75901600
